feature,angry,happy,relax,sad
_RMSenergy_Mean,0.07023119900109434,0.0604527455492672,0.05327600991368661,0.06052737505718492
_Lowenergy_Mean,0.05885840825423517,0.046457431367790104,0.049345805139327535,0.04424570857464854
_Fluctuation_Mean,1.5784604073833364,2.5132485905454693,2.0247325752086645,2.190392609150748
_Tempo_Mean,31.677831906557323,30.27995748811948,35.87399277629317,36.88298234091163
_MFCC_Mean_1,0.6598061186761035,0.4616717180557254,0.8294493059320209,0.7596360954264534
_MFCC_Mean_2,0.31229415103020536,0.4230907225347177,0.5291713105021717,0.6666968626494854
_MFCC_Mean_3,0.26507652316135644,0.24047877728238792,0.30444481329698214,0.3172722851578639
_MFCC_Mean_4,0.21958369127680566,0.20475771812391622,0.2985964703763461,0.3186441199073273
_MFCC_Mean_5,0.16335407753241007,0.14870155997632956,0.23090846058929318,0.22314097912677666
_MFCC_Mean_6,0.1416788230078472,0.16064953259574807,0.234140999563869,0.24472710239461554
_MFCC_Mean_7,0.14607004373507823,0.15655088532796518,0.19489151890581113,0.19877582317472078
_MFCC_Mean_8,0.1285302008294258,0.15024394002804742,0.1894232125013812,0.18583827959173577
_MFCC_Mean_9,0.10715006186454469,0.14259214245851382,0.16990178386825774,0.1993774581242343
_MFCC_Mean_10,0.09126775958351305,0.12765558579967656,0.17725826732012623,0.19280847748452093
_MFCC_Mean_11,0.09139156460422418,0.1207251971724347,0.1524984861656937,0.16580358923141622
_MFCC_Mean_12,0.0920490926329285,0.12422642409907982,0.15753577627980514,0.13330067781924707
_MFCC_Mean_13,0.07486732979549271,0.12160950047615776,0.16233884596451617,0.15529399423823395
_Roughness_Mean,641.4479141954356,537.8438099295829,342.480391418656,365.22025394831024
_Roughness_Slope,0.15809861996982655,0.14274628867081948,0.1789829109838211,0.18079031746442864
_Zero-crossingrate_Mean,405.1021316799803,448.00116012985427,278.94166989913697,357.8241559745759
_AttackTime_Mean,0.008404057461618278,0.004994330118577799,0.018399107905471168,0.02296070204466402
_AttackTime_Slope,0.13697447377028488,0.10192281244632968,0.19160419508914092,0.14399504200218882
_Rolloff_Mean,2098.9806723808265,1962.6163790726096,2656.07180222326,1905.3022568236884
_Eventdensity_Mean,1.3980409827665814,0.8561865988324054,0.8163495750515636,0.969707233700414
_Pulseclarity_Mean,0.12867078812679947,0.16582910273269683,0.08788479603285981,0.08295839227278244
_Brightness_Mean,0.11463578865434669,0.07670414367272249,0.1308689281825001,0.11336606078264226
_Spectralcentroid_Mean,832.7268552842024,712.1109932330104,887.7637688732049,706.9876349581984
_Spectralspread_Mean,692.2429061087531,725.5027078033128,811.5586292770382,765.2354226954664
_Spectralskewness_Mean,0.6251350893198925,0.3919363692945036,1.0929870746507189,1.0022404294299039
_Spectralkurtosis_Mean,3.6233915149631666,1.5505877181953238,8.38740316067476,14.044914642469081
_Spectralflatness_Mean,0.022834052189524744,0.03418971875706012,0.020546795567212135,0.025772217050870343
_EntropyofSpectrum_Mean,0.03108562791108236,0.015037229892113894,0.043290275811063816,0.03004598495841354
_Chromagram_Mean_1,0.3066986430957393,0.3187630339581141,0.33138917888004116,0.2930202523424418
_Chromagram_Mean_2,0.22808464027924621,0.3059746294031318,0.3028639785364867,0.2739506768258354
_Chromagram_Mean_3,0.3947959036711951,0.26298108757901667,0.3256928657927324,0.29000878060548935
_Chromagram_Mean_4,0.2439436370984251,0.23493839188135685,0.2378262711571731,0.28685562394678443
_Chromagram_Mean_5,0.30528222593978094,0.28068308650594714,0.33486205135002,0.28540301188305495
_Chromagram_Mean_6,0.2511621575674556,0.3249018649041304,0.2271404093409087,0.3164860052437572
_Chromagram_Mean_7,0.12803235820477082,0.27592662964906983,0.293834936140973,0.30736854117005863
_Chromagram_Mean_8,0.31677071002110146,0.2856673887052861,0.3241230734885698,0.3660064131192846
_Chromagram_Mean_9,0.30639650072506647,0.3094190991016696,0.34122343445640163,0.3622552373254209
_Chromagram_Mean_10,0.3634997928389223,0.31437312627712405,0.38268405342720346,0.36092055758696934
_Chromagram_Mean_11,0.2718727158733727,0.3129397760501905,0.31948209352138673,0.314086030002011
_Chromagram_Mean_12,0.33165971730194804,0.2921529653306896,0.36700310680434356,0.3707632417246097
_HarmonicChangeDetectionFunction_Mean,0.05714024833510946,0.03743245904157232,0.05033789965239057,0.044522930194803134
_HarmonicChangeDetectionFunction_Std,0.03145781847862854,0.02421206602944369,0.03534553677194577,0.03146717224812121
_HarmonicChangeDetectionFunction_Slope,0.12497210799925626,0.08755087179186252,0.10343139579626508,0.09574841349530908
_HarmonicChangeDetectionFunction_PeriodFreq,1.071736175511021,0.8409479895398471,0.9074991037644795,0.7456662060252433
_HarmonicChangeDetectionFunction_PeriodAmp,0.051034132962878155,0.02358335956739089,0.06738790093124429,0.056501072663456664
_HarmonicChangeDetectionFunction_PeriodEntropy,0.0034204376824309916,0.0021960478734823316,0.005262368787202694,0.00357221318942573
