TSNE1,TSNE2,Class,true_label_encoded,kmeans_cluster
58.33145,-19.869667,relax,2,1
49.633476,-24.403269,relax,2,1
7.319033,-42.454933,relax,2,3
0.50451475,2.0904493,relax,2,3
39.98858,-2.946447,relax,2,1
27.17705,10.686235,relax,2,2
45.003193,-26.929094,relax,2,1
0.95840234,18.251669,relax,2,2
61.434753,-24.246534,relax,2,1
28.91497,7.7937484,relax,2,1
61.898777,-24.852928,relax,2,1
23.650928,32.211906,relax,2,2
32.721416,-23.535297,relax,2,1
32.414955,17.606747,relax,2,2
29.243292,27.185152,relax,2,2
0.42738888,-21.02262,relax,2,3
54.61347,-7.1850657,relax,2,1
23.441952,30.02558,relax,2,2
28.293036,9.109363,relax,2,2
-30.784065,9.535539,relax,2,0
22.957788,29.214777,relax,2,2
-52.84325,8.794838,relax,2,0
40.37751,-23.970024,relax,2,1
-8.554815,-23.615242,relax,2,3
6.2978287,-7.5242023,relax,2,3
69.26229,-11.572046,relax,2,1
29.489128,-29.523384,relax,2,1
46.765648,-38.646618,relax,2,1
-5.596889,8.534697,relax,2,2
41.337227,-39.08739,relax,2,1
53.664722,10.998625,relax,2,1
27.016123,-41.843697,relax,2,1
46.74439,-26.365486,relax,2,1
44.626316,-37.53145,relax,2,1
59.216763,-21.13014,relax,2,1
31.469095,6.987678,relax,2,1
0.49739948,20.519703,relax,2,2
37.107655,20.862818,relax,2,2
7.3061757,-9.379326,relax,2,3
-4.8523984,-53.8384,relax,2,3
46.197342,-23.849781,relax,2,1
-35.62545,5.023073,relax,2,0
-9.937054,-46.95239,relax,2,3
31.811747,43.51556,relax,2,2
24.62932,44.526203,relax,2,2
28.727465,-42.858814,relax,2,1
-1.0213236,3.4740694,relax,2,3
38.75784,20.997803,relax,2,2
18.1647,21.1313,relax,2,2
25.146763,-48.96074,relax,2,1
41.15434,-33.219326,relax,2,1
-6.9096785,8.133627,relax,2,3
33.150673,-20.651022,relax,2,1
-0.89388543,-51.56313,relax,2,3
25.572447,-48.263176,relax,2,1
7.3224263,26.34179,relax,2,2
26.095312,42.218254,relax,2,2
19.808752,-32.932858,relax,2,1
50.967262,-18.938292,relax,2,1
20.423676,24.620852,relax,2,2
52.63427,-18.72405,relax,2,1
44.567257,-22.370932,relax,2,1
-20.633808,-21.251722,relax,2,3
47.32258,16.089226,relax,2,1
51.66654,8.296512,relax,2,1
8.494534,-40.912846,relax,2,3
-26.0673,-25.315311,relax,2,3
2.430093,-6.178851,relax,2,3
-26.16529,-17.101702,relax,2,3
5.143389,-6.446631,relax,2,3
52.264214,9.841688,relax,2,1
-10.170127,38.562096,relax,2,2
47.098785,-24.806528,relax,2,1
55.266773,-9.502821,relax,2,1
65.02118,-15.110143,relax,2,1
-2.7062588,-53.346035,relax,2,3
2.3444345,17.636269,relax,2,2
54.38128,-6.2639604,relax,2,1
44.135464,30.425825,relax,2,2
38.804955,4.3179493,relax,2,1
51.40808,-29.048136,relax,2,1
50.611538,-29.637512,relax,2,1
69.85566,-11.103812,relax,2,1
-9.192434,42.767895,relax,2,2
29.23172,17.390966,relax,2,2
32.153965,42.829502,relax,2,2
48.81039,17.753912,relax,2,1
-0.78435177,-50.829308,relax,2,3
32.479954,-26.077595,relax,2,1
47.96035,15.699613,relax,2,1
1.7057681,-6.316858,relax,2,3
64.50028,-14.5684395,relax,2,1
-10.778243,-46.455734,relax,2,3
-4.130803,45.184593,relax,2,2
48.393257,29.61327,relax,2,2
-2.0043888,4.2375402,relax,2,3
-1.0983701,16.610735,relax,2,2
-36.981823,3.485013,happy,1,0
-17.986696,33.391,happy,1,0
-54.503483,-0.9209974,happy,1,0
-63.79289,28.788937,happy,1,0
-16.004503,5.879793,happy,1,3
-45.388615,-3.7346585,happy,1,0
-47.950428,35.023354,happy,1,0
-61.591427,-3.413763,happy,1,0
-33.953396,31.86709,happy,1,0
-46.860195,20.92677,happy,1,0
-42.37971,5.2078576,happy,1,0
-46.318844,-3.5333962,happy,1,0
-31.119278,-8.0251875,happy,1,3
0.7174491,40.382656,happy,1,2
-39.918583,-0.49436963,happy,1,0
-11.606768,-21.309143,happy,1,3
-32.41991,-13.077283,happy,1,3
-52.945053,3.0133042,happy,1,0
-47.4045,23.091572,happy,1,0
-47.00399,36.389175,happy,1,0
-14.067254,39.579994,happy,1,2
-57.83269,29.617321,happy,1,0
-52.921875,26.937346,happy,1,0
-35.081352,-23.407492,happy,1,3
-36.692635,-1.8691766,happy,1,0
2.5893807,-18.524279,happy,1,3
-25.888433,-19.091398,happy,1,3
-61.240627,21.177462,happy,1,0
-43.591793,5.436119,happy,1,0
-36.550594,-3.6601334,happy,1,0
-4.275844,42.12644,happy,1,2
-60.819527,29.174519,happy,1,0
-58.897717,29.411255,happy,1,0
-61.733788,20.330294,happy,1,0
-48.70285,34.284725,happy,1,0
17.750132,27.56461,happy,1,2
-48.50633,25.153868,happy,1,0
-50.665054,25.826542,happy,1,0
-34.830124,-16.506456,happy,1,3
-62.599964,-4.503041,happy,1,0
-54.9669,2.1990554,happy,1,0
25.59165,41.386917,happy,1,2
-27.940939,-16.113983,happy,1,3
-27.904247,-9.634603,happy,1,3
-35.712166,0.5260105,happy,1,0
-43.96068,22.995512,happy,1,0
-29.025381,-15.2168,happy,1,3
-54.88757,4.0256915,happy,1,0
-50.639244,21.348898,happy,1,0
1.3065703,39.632614,happy,1,2
-7.9471173,41.491993,happy,1,2
-48.37597,21.007093,happy,1,0
-64.22156,29.715446,happy,1,0
-42.836803,26.633656,happy,1,0
-44.769432,25.714045,happy,1,0
-38.286076,23.033447,happy,1,0
-46.064262,24.561386,happy,1,0
-60.512836,-2.6332607,happy,1,0
-44.86746,28.111456,happy,1,0
-29.394705,-9.936962,happy,1,3
-14.50673,8.406241,happy,1,3
-62.52948,-0.12878975,happy,1,0
-17.760004,1.7189107,happy,1,3
-62.394997,18.867502,happy,1,0
-31.297354,34.181652,happy,1,0
-39.38325,3.1337066,happy,1,0
4.15542,-21.31408,happy,1,3
-36.85909,0.7124693,happy,1,0
-16.26068,4.527074,happy,1,3
-64.31937,26.413801,happy,1,0
-26.193672,20.055016,happy,1,0
-10.727498,9.515422,happy,1,3
-54.066673,-1.8582088,happy,1,0
-34.363594,-22.879921,happy,1,3
-14.779333,46.019753,happy,1,2
-4.093839,43.137463,happy,1,2
-44.7586,7.635238,happy,1,0
-54.949547,5.5322056,happy,1,0
-49.62376,18.364685,happy,1,0
-66.42798,31.262241,happy,1,0
-20.975122,6.0483,happy,1,0
-45.159874,4.2474427,happy,1,0
-34.898712,35.219643,happy,1,0
-33.83099,0.32653654,happy,1,0
-66.04867,32.46311,happy,1,0
-8.591702,39.689568,happy,1,2
5.309988,42.561466,happy,1,2
6.15193,42.733517,happy,1,2
-34.005924,-17.198423,happy,1,3
