feature,class,n,class_mean,overall_mean,between_contribution,within_contribution
_RMSenergy_Mean,angry,97,0.37145767544540353,-2.0144252817940985e-16,13.384138050788383,105.5577180819293
_RMSenergy_Mean,happy,96,0.235079196692516,-2.0144252817940985e-16,5.305173956889477,88.42103704058923
_RMSenergy_Mean,relax,97,-0.2790009142612319,-2.0144252817940985e-16,7.550626485384506,69.26516681754694
_RMSenergy_Mean,sad,98,-0.3217949869116966,-2.0144252817940985e-16,10.148097332946888,88.36804223392531
_Lowenergy_Mean,angry,97,-0.2652660995545031,-4.738477651492936e-16,6.82551204656735,110.97908721145437
_Lowenergy_Mean,happy,96,-0.0175026789917735,-4.738477651492936e-16,0.02940900210134907,85.44461020660529
_Lowenergy_Mean,relax,97,0.08535235506663308,-4.738477651492936e-16,0.7066473779958066,97.86071007270587
_Lowenergy_Mean,sad,98,0.19522337141360682,-4.738477651492936e-16,3.7349921451173356,82.4190319374526
_Fluctuation_Mean,angry,97,-0.8936617574139604,-4.3951097057325786e-16,77.46723965642812,53.974360914808926
_Fluctuation_Mean,happy,96,0.30956808122523355,-4.3951097057325786e-16,9.199910103693416,69.91426190397277
_Fluctuation_Mean,relax,97,0.47618603498687523,-4.3951097057325786e-16,21.99505457190263,84.84486118063448
_Fluctuation_Mean,sad,98,0.10996540079392521,-4.3951097057325786e-16,1.185054158433333,69.41925751012633
_Tempo_Mean,angry,97,0.16341024718481623,-2.7469435660828616e-17,2.5901821618452665,85.04975745523664
_Tempo_Mean,happy,96,0.023205770662289554,-2.7469435660828616e-17,0.051696748034954866,70.65095765086046
_Tempo_Mean,relax,97,-0.28364320177638186,-2.7469435660828616e-17,7.803986193653856,107.53567036116988
_Tempo_Mean,sad,98,0.09627390420206185,-2.7469435660828616e-17,0.908329133770163,113.40942029542877
_MFCC_Mean_1,angry,97,-0.30165726063690046,-1.8312957107219077e-17,8.826718980811012,76.04778317883532
_MFCC_Mean_1,happy,96,-0.6838981655983044,-1.8312957107219077e-17,44.90080328723768,37.67829010817006
_MFCC_Mean_1,relax,97,0.6451970240340623,-1.8312957107219077e-17,40.37908238277381,92.89150774970398
_MFCC_Mean_1,sad,98,0.32990680457053595,-1.8312957107219077e-17,10.666172970790296,76.60964134167777
_MFCC_Mean_2,angry,97,-0.07929717063921482,-5.493887132165723e-17,0.6099400033243202,38.29428279503106
_MFCC_Mean_2,happy,96,-0.36675156808431936,-5.493887132165723e-17,12.912644418461483,59.359000189814246
_MFCC_Mean_2,relax,97,0.6687842730520893,-5.493887132165723e-17,43.385423176535724,96.10552536821734
_MFCC_Mean_2,sad,98,-0.22420508569341016,-5.493887132165723e-17,4.926256204177358,132.40692784443837
_MFCC_Mean_3,angry,97,0.38788570796375343,7.325182842887631e-17,14.594166276926591,77.26406036959601
_MFCC_Mean_3,happy,96,-0.3917536707426584,7.325182842887631e-17,14.733210099873336,69.01532196219122
_MFCC_Mean_3,relax,97,0.13604117841809032,7.325182842887631e-17,1.795198615862118,107.2335448131616
_MFCC_Mean_3,sad,98,-0.1348219957933021,7.325182842887631e-17,1.7813431138695406,101.58315474851966
_MFCC_Mean_4,angry,97,0.05131452509020996,-3.6625914214438153e-17,0.2554185070676777,58.50203826616737
_MFCC_Mean_4,happy,96,-0.21907438322641726,-3.6625914214438153e-17,4.607384197059371,60.72977093121261
_MFCC_Mean_4,relax,97,0.4710444575404465,-3.6625914214438153e-17,21.522639455018634,129.87102481337496
_MFCC_Mean_4,sad,98,-0.3024253114840575,-3.6625914214438153e-17,8.963184764570459,103.54853906552904
_MFCC_Mean_5,angry,97,0.0761613905867478,9.156478553609538e-18,0.5626540693623939,66.67241741612023
