PC1,PC2,Class,cluster
-6.613595905868853,1.5803734302025971,relax,0
-6.368793962731842,-1.868017205979858,relax,0
1.886184529620458,6.093194404100522,relax,-1
-1.0434733731488701,3.474695191754592,relax,1
-4.322847017412335,2.1909422997552,relax,-1
-1.556366480704984,2.3336844048569323,relax,1
-7.257349979599963,-0.3075883388739695,relax,0
-0.7731736008187201,2.262085148993563,relax,1
-5.793705528763359,-1.5914040267485443,relax,0
-0.8840721939293645,3.944740613519395,relax,1
-5.847010487279818,-1.6376369044404069,relax,0
2.0299777943765944,2.5608160179578245,relax,1
-4.0781444605306465,0.9216498297668839,relax,1
-0.5775089671776783,6.1968195634877175,relax,-1
0.22599681810814978,3.27210071172273,relax,1
0.38363698028470544,1.3888950464293917,relax,1
-1.757189254014743,-0.6605877163555751,relax,1
1.4219056736889089,2.023325821654788,relax,1
-1.8805612804276637,2.209761127718472,relax,1
2.2938615195107164,0.0005307438221465262,relax,1
-0.24548404789033362,0.6744080066113788,relax,1
3.109935751996562,0.7821813161738838,relax,1
-7.789073750173931,-0.06371627554178405,relax,-1
0.8710685851035402,1.4070606086967539,relax,1
0.8697509733252621,1.6593863208602186,relax,1
-5.932645995905683,-0.2446968104491153,relax,0
-3.4657152339314417,-0.01345191737551774,relax,1
-5.373694444173908,1.7254810169501107,relax,0
1.182364229232549,0.16914273329557497,relax,1
-3.3327655754084287,2.1501681216851525,relax,1
-2.0116631878813287,3.4303664263682916,relax,1
-2.173506992604485,0.5520166897989901,relax,1
-5.520488850097813,0.7102172387390088,relax,0
-4.778418230080748,0.43169967690149624,relax,1
-6.729483222837207,-0.0776421893424185,relax,0
-2.1512855083123106,2.252719670788879,relax,1
0.7144885950324562,2.5843893349529687,relax,1
0.42429448781307116,4.031240681633426,relax,1
0.06379384723596307,2.566142981745174,relax,1
-0.05371173296947139,4.055416344618185,relax,1
-7.0457426722062655,-1.9251869940997184,relax,0
1.1415451962897583,0.11984734440089148,relax,1
-0.12846901370557218,1.8614690169911356,relax,1
0.8824422003624688,3.4243613775221364,relax,1
1.1356447726143943,1.967106085932501,relax,1
-3.2749031244541094,0.5872154462257437,relax,1
-1.9286387947194097,0.5863076135047713,relax,1
2.2613685607708165,5.271916489091876,relax,-1
-3.0820194779263046,-1.1155186514844868,relax,1
-1.8784738758191006,3.0648734036529914,relax,1
-3.995309594986293,-0.6252406835887372,relax,1
2.895904941262469,0.5220072365638599,relax,1
-3.3761168043106196,-0.5383285902065155,relax,1
-1.345523401764865,3.9787650730679998,relax,1
-2.5837256403785096,3.3600690823335,relax,1
-1.2434543182180238,-0.023563456409765125,relax,1
1.432258367320652,3.590606333046827,relax,1
-2.0255848702395864,-0.5415549100585697,relax,1
-7.576118676348259,1.4551872947210525,relax,0
-2.2802036453227417,1.0618269043631587,relax,1
-8.536322885921113,2.131158429358028,relax,-1
-2.569888813156311,-1.0479456030289622,relax,1
0.8182739321870238,0.8579321637774882,relax,1
-0.9417309166939396,3.572474474859033,relax,1
-2.938648715657245,1.785248687631852,relax,1
1.412116961445946,2.139342375166295,relax,1
-0.026330677480195002,0.6067994239854115,relax,1
2.5466066754698597,1.9765878063608673,relax,1
1.8385824823802424,0.8216838771010542,relax,1
1.029639336235051,0.981727684064202,relax,1
-2.329139791370133,2.4863913337064845,relax,1
0.1662888104115504,-0.9848133378732634,relax,1
-5.824102790755632,-0.7048304306970758,relax,0
-3.025889574079702,0.3629157974476351,relax,1
-5.874750429067556,1.2564982849904587,relax,0
0.062450467615837245,3.985327232192962,relax,1
0.8074995236190379,1.6704672976081294,relax,1
-1.8229931743631291,1.756197289770118,relax,1
1.0506990238060485,4.3610368463513804,relax,1
-6.612537612498248,2.4822476204333825,relax,0
-4.439227109552596,1.9098318508422625,relax,0
-3.0145050816739807,0.8557165758949203,relax,1
