tSNE1,tSNE2,class
58.33145,-19.869667,relax
49.633476,-24.403269,relax
7.319033,-42.454933,relax
0.50451475,2.0904493,relax
39.98858,-2.946447,relax
27.17705,10.686235,relax
45.003193,-26.929094,relax
0.95840234,18.251669,relax
61.434753,-24.246534,relax
28.91497,7.7937484,relax
61.898777,-24.852928,relax
23.650928,32.211906,relax
32.721416,-23.535297,relax
32.414955,17.606747,relax
29.243292,27.185152,relax
0.42738888,-21.02262,relax
54.61347,-7.1850657,relax
23.441952,30.02558,relax
28.293036,9.109363,relax
-30.784065,9.535539,relax
22.957788,29.214777,relax
-52.84325,8.794838,relax
40.37751,-23.970024,relax
-8.554815,-23.615242,relax
6.2978287,-7.5242023,relax
69.26229,-11.572046,relax
29.489128,-29.523384,relax
46.765648,-38.646618,relax
-5.596889,8.534697,relax
41.337227,-39.08739,relax
53.664722,10.998625,relax
27.016123,-41.843697,relax
46.74439,-26.365486,relax
44.626316,-37.53145,relax
59.216763,-21.13014,relax
31.469095,6.987678,relax
0.49739948,20.519703,relax
37.107655,20.862818,relax
7.3061757,-9.379326,relax
-4.8523984,-53.8384,relax
46.197342,-23.849781,relax
-35.62545,5.023073,relax
-9.937054,-46.95239,relax
31.811747,43.51556,relax
24.62932,44.526203,relax
28.727465,-42.858814,relax
-1.0213236,3.4740694,relax
38.75784,20.997803,relax
18.1647,21.1313,relax
25.146763,-48.96074,relax
41.15434,-33.219326,relax
-6.9096785,8.133627,relax
33.150673,-20.651022,relax
-0.89388543,-51.56313,relax
25.572447,-48.263176,relax
7.3224263,26.34179,relax
26.095312,42.218254,relax
19.808752,-32.932858,relax
50.967262,-18.938292,relax
20.423676,24.620852,relax
52.63427,-18.72405,relax
44.567257,-22.370932,relax
-20.633808,-21.251722,relax
47.32258,16.089226,relax
51.66654,8.296512,relax
8.494534,-40.912846,relax
-26.0673,-25.315311,relax
2.430093,-6.178851,relax
-26.16529,-17.101702,relax
5.143389,-6.446631,relax
52.264214,9.841688,relax
-10.170127,38.562096,relax
47.098785,-24.806528,relax
55.266773,-9.502821,relax
65.02118,-15.110143,relax
-2.7062588,-53.346035,relax
2.3444345,17.636269,relax
54.38128,-6.2639604,relax
44.135464,30.425825,relax
38.804955,4.3179493,relax
51.40808,-29.048136,relax
50.611538,-29.637512,relax
69.85566,-11.103812,relax
-9.192434,42.767895,relax
29.23172,17.390966,relax
32.153965,42.829502,relax
48.81039,17.753912,relax
-0.78435177,-50.829308,relax
32.479954,-26.077595,relax
47.96035,15.699613,relax
1.7057681,-6.316858,relax
64.50028,-14.5684395,relax
-10.778243,-46.455734,relax
-4.130803,45.184593,relax
48.393257,29.61327,relax
-2.0043888,4.2375402,relax
-1.0983701,16.610735,relax
-36.981823,3.485013,happy
-17.986696,33.391,happy
-54.503483,-0.9209974,happy
-63.79289,28.788937,happy
-16.004503,5.879793,happy
-45.388615,-3.7346585,happy
-47.950428,35.023354,happy
-61.591427,-3.413763,happy
-33.953396,31.86709,happy
-46.860195,20.92677,happy
-42.37971,5.2078576,happy
-46.318844,-3.5333962,happy
-31.119278,-8.0251875,happy
0.7174491,40.382656,happy
-39.918583,-0.49436963,happy
-11.606768,-21.309143,happy
-32.41991,-13.077283,happy
-52.945053,3.0133042,happy
-47.4045,23.091572,happy
-47.00399,36.389175,happy
-14.067254,39.579994,happy
-57.83269,29.617321,happy
-52.921875,26.937346,happy
-35.081352,-23.407492,happy
-36.692635,-1.8691766,happy
2.5893807,-18.524279,happy
-25.888433,-19.091398,happy
-61.240627,21.177462,happy
-43.591793,5.436119,happy
-36.550594,-3.6601334,happy
-4.275844,42.12644,happy
-60.819527,29.174519,happy
-58.897717,29.411255,happy
-61.733788,20.330294,happy
-48.70285,34.284725,happy
17.750132,27.56461,happy
-48.50633,25.153868,happy
-50.665054,25.826542,happy
-34.830124,-16.506456,happy
-62.599964,-4.503041,happy
-54.9669,2.1990554,happy
25.59165,41.386917,happy
-27.940939,-16.113983,happy
-27.904247,-9.634603,happy
-35.712166,0.5260105,happy
-43.96068,22.995512,happy
-29.025381,-15.2168,happy
-54.88757,4.0256915,happy
-50.639244,21.348898,happy
1.3065703,39.632614,happy
-7.9471173,41.491993,happy
-48.37597,21.007093,happy
-64.22156,29.715446,happy
-42.836803,26.633656,happy
