tSNE1,tSNE2,class
-3.0810118,-26.424694,relax
0.52566916,-26.531244,relax
-15.5761175,-26.431087,relax
-13.733524,-5.5292363,relax
11.930787,-31.009298,relax
-18.14107,-15.772921,relax
1.9181634,-24.531292,relax
-19.729713,-2.8238964,relax
-1.7928156,-22.717016,relax
-15.136796,-15.367253,relax
-1.6946043,-22.490335,relax
-19.450287,8.800013,relax
6.4022202,-20.249363,relax
-25.015299,-11.124947,relax
-28.032488,-13.930567,relax
-11.579156,4.8691144,relax
-6.667633,-19.810856,relax
-20.173933,6.629368,relax
-16.41686,-15.557375,relax
-16.96074,21.807764,relax
-20.756285,6.3151135,relax
2.8303375,34.48013,relax
2.5949643,-21.81867,relax
-12.9930525,6.842491,relax
-19.390175,2.6640644,relax
-26.27622,-34.863503,relax
-7.940061,-11.721266,relax
15.763538,-19.315952,relax
-1.1713035,19.306278,relax
-9.165597,-21.79878,relax
-19.512995,-25.002504,relax
20.480299,-23.537386,relax
3.224262,-25.85259,relax
14.046846,-20.756124,relax
-2.7157316,-25.161102,relax
-13.092942,-15.412915,relax
-21.529785,-3.9775894,relax
-26.1802,-17.866207,relax
-21.250772,2.432653,relax
-28.210485,-0.6077094,relax
3.9322572,-24.080616,relax
-13.820758,18.110699,relax
-25.326096,6.6916423,relax
-24.668028,14.242438,relax
12.286723,3.6244676,relax
20.599922,-21.580435,relax
-12.362797,-6.638172,relax
-27.509315,-18.19834,relax
13.424095,-9.802457,relax
-21.252207,-28.034327,relax
10.019338,-20.11529,relax
-0.61008954,20.362997,relax
7.4280825,-21.587921,relax
-29.123156,-4.5926948,relax
-21.74344,-28.162329,relax
15.8003845,-5.077755,relax
-22.827705,11.450842,relax
14.473971,-26.154934,relax
-0.5772883,-30.454657,relax
11.087248,-2.0760443,relax
-1.7654697,-29.886436,relax
-3.5883043,-15.242239,relax
11.649182,9.008153,relax
-21.895887,-22.173532,relax
-18.04447,-22.650444,relax
-13.549325,-26.100664,relax
-16.31565,7.340814,relax
-16.367676,2.774469,relax
1.7581347,9.978569,relax
-18.216143,2.8221226,relax
-19.372875,-23.678356,relax
20.32783,4.853937,relax
3.8349783,-25.043716,relax
-7.044099,-21.653624,relax
-27.612339,-30.634449,relax
-29.181877,-2.4038212,relax
-20.09839,-1.6689458,relax
-7.296534,-19.397192,relax
-18.268194,-32.906773,relax
-8.447907,-15.986107,relax
3.8324316,-28.450169,relax
3.085013,-28.50021,relax
-26.208755,-35.099407,relax
19.7851,2.8103323,relax
-24.360487,-8.323671,relax
-24.903408,14.250939,relax
-24.041864,-21.861624,relax
-29.021952,-4.770426,relax
6.2781744,-18.090014,relax
-22.11206,-22.026333,relax
-16.14563,3.0036254,relax
-27.77457,-30.511408,relax
-24.583296,7.141476,relax
19.087362,-0.45858058,relax
-14.8973675,-32.094322,relax
-11.567965,-7.209696,relax
-17.866873,-3.3776333,relax
-5.1606092,22.45227,happy
24.40367,-0.6845516,happy
-8.513164,34.095543,happy
12.38897,31.205923,happy
4.9951906,19.319878,happy
-8.147862,27.494707,happy
12.563598,24.606173,happy
-12.112255,34.078415,happy
-1.899536,37.52155,happy
-5.0063424,27.064257,happy
0.28272992,22.677975,happy
-8.029392,28.39251,happy
9.460726,25.27975,happy
22.531712,-2.6822486,happy
-6.2890086,24.422209,happy
-0.2732706,2.8264768,happy
9.968,14.376125,happy
-7.266764,37.498325,happy
-3.8159325,28.044796,happy
13.78624,24.035099,happy
20.942982,7.721811,happy
9.9369335,33.909954,happy
11.986008,35.368477,happy
1.256278,13.762666,happy
-6.136411,18.879272,happy
-3.9558985,15.906658,happy
0.5530647,10.736583,happy
8.453168,30.441349,happy
1.7757422,23.123787,happy
-6.896668,17.546915,happy
21.881464,0.44216824,happy
10.672213,31.846952,happy
9.778525,33.087654,happy
7.9712186,30.036146,happy
11.738767,25.09366,happy
14.367681,0.7466871,happy
-2.898875,29.578947,happy
-1.7640089,30.36208,happy
6.31511,12.941127,happy
-13.2680855,34.009468,happy
-7.560092,35.704506,happy
-21.988226,11.113054,happy
2.9253144,10.991357,happy
-1.3927766,12.757722,happy
-6.5318403,20.745356,happy
-5.3770847,29.94778,happy
3.879916,12.096715,happy
-5.9123235,36.607807,happy
-4.0577297,31.761944,happy
22.334566,-3.3482947,happy
21.31787,2.7963347,happy
-5.05397,28.250938,happy
13.063658,31.393858,happy
-3.5266736,25.850069,happy
-2.6451294,26.825262,happy
-1.462029,23.964386,happy
-2.5396314,28.235046,happy
-11.211221,33.555527,happy
-0.9704145,26.271675,happy
3.2423642,13.896616,happy
5.8422027,20.854755,happy
-11.873574,31.653503,happy
4.0725045,15.988223,happy
6.8287816,30.288752,happy
1.3589547,26.613226,happy
-3.6301875,22.277893,happy
-25.66928,1.7951938,happy
-5.4430237,21.090776,happy
4.921383,18.233683,happy
12.107602,29.1414,happy
13.600619,16.883558,happy
6.773009,22.476961,happy
-9.126731,33.520073,happy
1.5769336,13.210219,happy
17.54205,7.267344,happy
21.324799,0.0070198816,happy
5.5748963,24.366163,happy
-4.414895,36.791187,happy
0.46401268,31.825483,happy
15.14966,31.089184,happy
9.172582,19.352324,happy
3.0403478,23.266773,happy
-1.793214,34.650562,happy
-7.679018,21.40984,happy
15.571221,31.961435,happy
21.875248,4.0276303,happy
25.264313,-4.9344664,happy
25.402245,-5.42628,happy
5.471792,12.42405,happy
21.574856,1.5783278,happy
0.5619535,-5.5276537,happy
2.3297412,35.665867,happy
21.044804,6.1741276,happy
7.693509,18.999622,happy
-8.190364,30.62162,happy
21.583012,9.470519,happy
-1.306225,17.637438,sad
11.889107,4.3959007,sad
12.3132925,-21.622099,sad
-6.292958,-22.348944,sad
5.331879,-29.025673,sad
17.530529,-13.266248,sad
-18.330435,-11.478519,sad
-12.391356,-35.081863,sad
13.875897,-6.6971564,sad
-13.852052,-33.054817,sad
5.9304934,-24.478785,sad
5.399449,31.798801,sad
18.794167,-17.691843,sad
7.635027,-17.22907,sad
-9.519412,13.853698,sad
-16.043142,-32.842422,sad
5.6740003,-9.713839,sad
-22.498434,-11.919674,sad
-30.64948,-3.1179314,sad
-19.835974,-9.370306,sad
3.7503982,-18.858929,sad
10.981951,7.6099515,sad
-22.706848,-4.973674,sad
17.340181,-9.020899,sad
14.567188,-3.8386617,sad
-14.420682,-12.634844,sad
-2.8775358,0.13937429,sad
16.794483,8.1820135,sad
-11.738712,-17.382128,sad
-18.89737,-8.445884,sad
-24.069824,-14.850076,sad
