TSNE1,TSNE2,Class,true_label_encoded,kmeans_cluster
10.985939,5.4814477,relax,2,3
10.269559,4.7698812,relax,2,3
-4.4160438,5.846502,relax,2,0
-0.26417053,4.902098,relax,2,0
6.4181724,8.833203,relax,2,3
-2.8561134,9.004661,relax,2,0
10.297082,3.6780343,relax,2,3
-1.0914401,3.9477637,relax,2,0
12.201422,3.8651347,relax,2,3
-1.1009504,6.2197495,relax,2,0
12.202425,3.8614647,relax,2,3
-4.9376135,1.3082356,relax,2,0
7.858792,6.265224,relax,2,3
-2.988541,7.417798,relax,2,0
-2.1738257,6.068931,relax,2,0
0.029565373,0.48467484,relax,2,0
3.742795,6.9532943,relax,2,3
-3.7790523,2.1837585,relax,2,0
-1.1146601,6.072779,relax,2,0
-6.4003067,-9.768926,relax,2,2
-3.7497513,2.2069826,relax,2,0
-7.2177505,-0.68193036,relax,2,2
10.693212,2.844172,relax,2,3
-0.595158,0.33623084,relax,2,0
-2.5599756,2.7124588,relax,2,0
10.352263,8.644736,relax,2,3
5.3050494,3.6200352,relax,2,3
7.2060537,7.4693127,relax,2,3
-3.8117902,-2.2512963,relax,2,2
2.9792361,7.4895363,relax,2,0
2.1371946,9.015315,relax,2,0
5.094762,6.144595,relax,2,3
9.516429,4.434933,relax,2,3
5.091202,8.0324135,relax,2,3
11.339048,4.8448334,relax,2,3
1.9098688,6.488532,relax,2,0
-1.9395137,3.966043,relax,2,0
-1.8301888,8.2360115,relax,2,0
-2.9860847,3.0934358,relax,2,0
-5.884833,7.698864,relax,2,0
9.804277,3.6153398,relax,2,3
-1.0151789,-0.49418932,relax,2,1
-6.2439117,4.497346,relax,2,0
-7.8871713,3.1714253,relax,2,0
-5.989886,2.299777,relax,2,0
6.0606937,6.162875,relax,2,3
1.3663753,3.904196,relax,2,0
-3.6770446,6.7862606,relax,2,0
11.121402,-0.3274417,relax,2,3
2.7517905,10.272537,relax,2,0
7.8397484,3.3041418,relax,2,3
-4.2273307,-2.7245398,relax,2,2
7.449517,6.5142403,relax,2,3
-3.8288624,8.764449,relax,2,0
2.8049624,10.252845,relax,2,0
3.1607237,3.197258,relax,2,3
-6.5789003,2.3617969,relax,2,0
4.076998,4.189539,relax,2,3
12.133029,5.788922,relax,2,3
2.1472652,3.1250107,relax,2,0
12.019742,5.783325,relax,2,3
9.707315,-0.5320955,relax,2,3
4.785846,-7.7858133,relax,2,1
-0.24828094,8.482484,relax,2,0
1.1673163,9.02853,relax,2,0
-1.9737211,0.90524477,relax,2,0
-0.784561,0.96357334,relax,2,0
-1.674165,2.0706818,relax,2,0
-1.1704068,0.34282276,relax,2,0
-2.2467027,2.3743606,relax,2,0
1.7031713,9.040553,relax,2,0
-0.9771441,-5.8430176,relax,2,1
9.492672,4.4114904,relax,2,3
3.932402,7.419621,relax,2,3
